Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Taxonomic lineage IDs (GENUS)	Taxonomic lineage IDs (SPECIES)	KEGG	KO	EC number	COG ID	MP1	MP2	MP3	MP4
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2188	K01186,K01376,K01729	3.4.21.-	COG3420	35.556960980333	34.0044108743518	45.4250579464671	55.5991490161142
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0256	K13525	3.6.4.6	COG0464	776.030673395767	273.824992830306	219.369792034158	91.9087973531684
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1770	K02117	7.1.2.2	COG1155	0.0	0.0	11.0792824259676	6.80805906319766
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2186				8.88924024508324	5.36911750647659	14.4030671537579	19.28950067906
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2183				207.11929771044	399.999254232506	397.746239092236	461.813339786908
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3355				3.5556960980333	0.0	11.0792824259676	9.07741208426354
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2726	K02030	3.1.4.17	COG0834	11.5560123186082	0.0	17.7268518815481	19.28950067906
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0		K01153,K01153	3.1.21.3	COG4096	0.888924024508324	0.0	6.64756945558055	6.80805906319766
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2348				3.5556960980333	1.7897058354922	9.97135418337083	9.07741208426354
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3275	K01278,K01278,K01303,K01423,K01303,K01423,K01303,K01278,K01278,K01423,K01278,K01278	3.4.14.5	COG1506	4.44462012254162	3.5794116709844	9.97135418337083	13.6161181263953
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0797		1.1.1.23	COG0141	7.11139219606659	3.5794116709844	15.5109953963546	11.3467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1039	K22447	2.7.1.150	COG0459	53.3354414704995	32.2147050388596	77.5549769817731	52.1951194845154
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0484	K02035	3.1.3.2	COG0747	23.1120246372164	18.7919112726681	26.5902778223222	34.0402953159883
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2115			COG4738	768.030357175192	853.689683529778	817.651043036408	1378.63196029753
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1174		3.6.3.25	COG2433	19.5563285391831	16.1073525194298	25.4823495797255	23.8282067211918
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2202	K02016,K02781	1.1.1.23	COG0614	608.024032763694	869.797036049208	757.822917936183	1501.17702343508
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2503			COG5266	21.3341765881998	12.5279408484454	23.2664930945319	32.9056188054553
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1652	K01933	6.3.3.1	COG0150	3.5556960980333	1.7897058354922	7.75549769817731	9.07741208426354
Methanothrix	Methanothrix harundinacea	2222.0	301375.0	mhi:Mhar_0146				10.6670882940999	8.05367625971489	0.0	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1435	K00384	1.8.1.9	COG0492	1.77784804901665	0.0	5.53964121298379	9.07741208426354
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2725			COG4248	12.4449363431165	10.7382350129532	24.3744213371287	15.8854711474612
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2173				1975.1891824575	4196.8601842292	3608.52228613764	4897.26381946018
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0003			COG3401	0.0	0.894852917746099	4.43171297038704	11.3467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2182				14.2227843921332	14.3176466839376	23.2664930945319	18.1548241685271
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2180				15.1117084166415	11.6330879306993	19.9427083667417	18.1548241685271
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			2.1.1.86	COG1962	1.77784804901665	1.7897058354922	4.43171297038704	15.8854711474612
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1490	K01959	6.3.4.14	COG4770	28.4455687842664	14.3176466839376	17.7268518815481	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0756				0.888924024508324	0.0	4.43171297038704	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2162	K02016	1.1.1.23	COG0614	10.6670882940999	8.05367625971489	13.2951389111611	14.7507946369283
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0569				0.0	0.0	3.32378472779028	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0408				24.8898726862331	14.3176466839376	28.8061343075157	24.9628832317247
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0597	K17870	1.6.99.3	COG0446	5.33354414704995	3.5794116709844	17.7268518815481	5.67338255266472
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			2.7.1.150	COG0459	0.0	0.0	0.0	17.0201476579941
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2255		1.5.98.1		0.0	17.0022054371759	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1020,mcj:MCON_2762			COG5421	2.66677207352497	4.47426458873049	0.0	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0258	K25028	3.6.3.34	COG1120	2.66677207352497	4.47426458873049	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2892	K04076	3.4.21.-	COG1067	2.66677207352497	3.5794116709844	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2172				0.888924024508324	0.0	2.21585648519352	6.80805906319766
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1939			COG3576	0.888924024508324	1.7897058354922	3.32378472779028	6.80805906319766
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0956				3.5556960980333	3.5794116709844	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1553				0.0	0.894852917746099	3.32378472779028	3.40402953159883
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0177				2.66677207352497	3.5794116709844	9.97135418337083	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3138	K00971,K01587,K01809,K01607,K00971,K00971	4.1.1.44	COG1917	0.0	8.05367625971489	6.64756945558055	11.3467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0				COG0347	28.4455687842664	57.2705867357503	62.0439815854185	45.3870604213177
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0536	K01537	6.3.5.3	COG0474	2.66677207352497	2.6845587532383	6.64756945558055	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0660	K02230	6.6.1.2	COG1429	11.5560123186082	12.5279408484454	11.0792824259676	5.67338255266472
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0412	K00053	1.1.1.86	COG0059	330.679737117097	284.563227843259	299.140625501125	354.019071286278
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0172	K05394,K01485,K05603,K01487	4.6.1.1	COG0402	4.44462012254162	3.5794116709844	0.0	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0570		2.5.1.73	COG1103	5.33354414704995	3.5794116709844	2.21585648519352	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1795	K00560	2.1.1.-	COG0207	5.33354414704995	2.6845587532383	1.10792824259676	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2693		2.7.13.3	COG2202	0.0	0.0	2.21585648519352	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0039	K06915	3.6.4.1	COG0433	0.0	0.0	2.21585648519352	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0042			COG5421	0.0	0.0	2.21585648519352	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0483	K07321		COG3640	0.0	0.0	2.21585648519352	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2044	K05601	1.7.99.1	COG1151	8.00031622057492	0.0	0.0	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1756				1.77784804901665	5.36911750647659	5.53964121298379	7.9427355737306
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0650	K02016,K02781	1.1.1.23	COG0614	5.33354414704995	3.5794116709844	4.43171297038704	12.4814416158624
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1914	K01265	3.4.11.18	COG0024	3.5556960980333	3.5794116709844	8.86342594077407	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1689	K00852		COG0524	4.44462012254162	2.6845587532383	6.64756945558055	5.67338255266472
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1770	K01618,K01618	4.1.1.20	COG0019	35.556960980333	25.0558816968908	31.0219907927092	18.1548241685271
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2139	K02016	1.1.1.23	COG0614	5.33354414704995	5.36911750647659	0.0	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1393				2.66677207352497	0.894852917746099	3.32378472779028	5.67338255266472
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1556			COG4738	2.66677207352497	1.7897058354922	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2561	K02967	2.4.2.7	COG0052	1.77784804901665	2.6845587532383	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3357			COG3360	2.66677207352497	3.5794116709844	4.43171297038704	6.80805906319766
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0					1.77784804901665	1.7897058354922	3.32378472779028	4.53870604213177
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2560		5.4.3.8	COG0001	1.77784804901665	0.894852917746099	3.32378472779028	3.40402953159883
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1358	K03657	5.6.2.4	COG0210	0.0	0.0	1.10792824259676	3.40402953159883
Methanothrix	Methanothrix harundinacea	2222.0	301375.0	mhi:Mhar_1209		3.6.3.-	COG4181	0.0	0.0	1.10792824259676	3.40402953159883
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0053	K05882,K05882	1.8.99.3	COG0667	0.0	0.0	3.32378472779028	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0264		3.5.4.13	COG0717	0.0	0.0	3.32378472779028	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			1.8.98.1	COG2048	0.0	0.0	0.0	5.67338255266472
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2427				0.0	0.0	0.0	5.67338255266472
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2023	K22516	1.2.99.-	COG3383	1.77784804901665	1.7897058354922	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2296	K00812	2.6.1.-	COG0436	1.77784804901665	1.7897058354922	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0187				3.5556960980333	0.894852917746099	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1826				0.0	0.894852917746099	1.10792824259676	4.53870604213177
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0813		3.1.21.-	COG0535	3.5556960980333	1.7897058354922	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3543	K06871	1.3.99.22	COG0641	0.888924024508324	0.0	2.21585648519352	2.26935302106589
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0				COG1873	256.010119058397	415.21175383419	212.722222578578	381.251307539069
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3163	K00809	2.5.1.46	COG1899	1.77784804901665	0.0	3.32378472779028	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0894	K07405	3.2.1.1	COG1449	6.22246817155827	0.0	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2262		2.4.2.57	COG0213	0.0	0.0	4.43171297038704	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1859				4.44462012254162	0.894852917746099	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0169	K01733	4.2.3.1	COG0498	5.33354414704995	0.894852917746099	7.75549769817731	3.40402953159883
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0110		2.7.13.3	COG0643	0.0	0.0	1.10792824259676	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0995			COG3436	0.0	0.0	1.10792824259676	2.26935302106589
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2601	K01916	6.3.1.5	COG0171	0.0	0.0	1.10792824259676	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0912	K04486,K04486,K04477,K04477	3.1.3.15	COG1387	0.0	0.0	1.10792824259676	2.26935302106589
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			3.1.-.-	COG0432	2.66677207352497	0.894852917746099	0.0	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2891	K13525	3.6.4.6	COG0464	0.0	0.0	2.21585648519352	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0813,mcj:MCON_0822,mcj:MCON_3383				0.0	0.0	2.21585648519352	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1357	K00680	4.6.1.1	COG1357	0.0	0.0	2.21585648519352	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2547	K00492,K00521,K00521,K00492,K00492,K00492,K00492	1.5.1.-	COG1853	0.0	0.0	2.21585648519352	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0299	K03787	3.1.3.5	COG0496	0.0	2.6845587532383	2.21585648519352	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2504				0.0	2.6845587532383	2.21585648519352	4.53870604213177
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2825	K01874	6.1.1.10	COG0143	2.66677207352497	1.7897058354922	3.32378472779028	4.53870604213177
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2339	K01265	3.4.11.18	COG0024	1.77784804901665	2.6845587532383	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1336	K00754,K08884,K00908,K01277,K02208,K00476,K00908,K00908,K00908,K00754,K08287,K00908,K01179,K00754,K00908,K01768,K02350,K00575,K00908,K06026,K00908,K00908,K02350,K03797,K00908,K05345,K00575,K06026,K07126	2.4.-.-	COG0457	1.77784804901665	2.6845587532383	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0672	K00826	2.6.1.42	COG0115	0.0	10.7382350129532	0.0	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0910	K02585	3.1.21.-	COG0535	4.44462012254162	5.36911750647659	3.32378472779028	3.40402953159883
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0488		6.6.1.2	COG5643	28.4455687842664	25.9507346146369	33.2378472779028	26.0975597422577
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1376	K19126			6.22246817155827	6.26397042422269	11.0792824259676	5.67338255266472
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0157		4.2.1.11	COG0148	2.66677207352497	0.894852917746099	3.32378472779028	3.40402953159883
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1392			COG2043	28.4455687842664	35.7941167098439	48.7488426742574	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1738	K00754,K08884,K00908,K01277,K02208,K00476,K00908,K00908,K00908,K00754,K08287,K00908,K01179,K00754,K00908,K01768,K02350,K00575,K00908,K06026,K00908,K00908,K02350,K03797,K00908,K05345,K00575,K06026,K07126	2.4.-.-	COG0457	0.888924024508324	3.5794116709844	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1164		3.4.24.-	COG3291	0.0	0.0	0.0	3.40402953159883
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2000				0.0	0.0	0.0	3.40402953159883
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0175				0.888924024508324	0.0	0.0	4.53870604213177
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1289		2.1.3.3	COG0542	0.0	0.0	3.32378472779028	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2464		2.7.11.1	COG1718	0.0	0.0	3.32378472779028	0.0
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			1.8.7.2		1.77784804901665	0.894852917746099	0.0	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1012	K02434	6.3.5.-	COG0064	1.77784804901665	0.894852917746099	0.0	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2615	K09738			1.77784804901665	0.894852917746099	0.0	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2446	K09759	6.1.1.23	COG0017	1.77784804901665	0.894852917746099	0.0	0.0
Methanothrix	Methanothrix thermoacetophila	2222.0	2224.0	mtp:Mthe_0878	K02230	6.6.1.2	COG1520	4.44462012254162	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3454				4.44462012254162	4.47426458873049	5.53964121298379	5.67338255266472
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			1.7.99.1	COG1151	0.0	2.6845587532383	3.32378472779028	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0652				2.66677207352497	2.6845587532383	3.32378472779028	4.53870604213177
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1396				0.0	0.0	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3487	K00754,K08884,K00908,K01277,K02208,K00476,K00908,K00908,K00908,K00754,K08287,K00908,K01179,K00754,K00908,K01768,K02350,K00575,K00908,K06026,K00908,K00908,K02350,K03797,K00908,K05345,K00575,K06026,K07126	2.4.-.-	COG0457	0.0	0.0	1.10792824259676	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0174	K01595	4.1.1.31	COG1892	0.0	0.0	1.10792824259676	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0749		2.4.-.-	COG0457	0.0	0.0	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0602,mcj:MCON_3317				0.0	0.0	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1308				0.0	0.0	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0328	K10716			0.0	0.0	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1916	K17104	2.5.1.41	COG1646	0.0	0.0	1.10792824259676	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0					0.0	0.0	1.10792824259676	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2412	K02323	2.7.7.7,3.1.11.1	COG1311	0.0	0.0	1.10792824259676	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0212	K02034	3.6.3.24	COG1173	0.0	0.0	1.10792824259676	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0					0.0	0.0	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2581			COG5421	1.77784804901665	1.7897058354922	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1478	K16306	2.2.1.10	COG1830	5.33354414704995	6.26397042422269	8.86342594077407	5.67338255266472
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2112	K07456	1.4.3.16	COG1193	1.77784804901665	1.7897058354922	0.0	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0					1.77784804901665	1.7897058354922	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2356				0.888924024508324	0.0	1.10792824259676	2.26935302106589
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0725	K19135			0.888924024508324	0.0	1.10792824259676	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1266		2.7.1.24	COG5418	0.0	0.894852917746099	1.10792824259676	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1499			COG4804	0.0	0.894852917746099	1.10792824259676	2.26935302106589
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3528				0.888924024508324	0.0	2.21585648519352	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1181	K02119			0.888924024508324	0.0	2.21585648519352	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2904		1.1.1.205	COG0517	0.888924024508324	0.0	2.21585648519352	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3508				0.0	0.894852917746099	2.21585648519352	1.13467651053294
